song_name;name_artists;popularity;explicit;song_type;num_artists;num_available_markets;release_date;duration_ms;key;mode;time_signature;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo
thank u, next;['Ariana Grande'];87;True;Solo;1;79;2019-02-08;207320;1;1;4;0.229;0.717;0.653;0.0;0.101;-5.634;0.0658;0.412;106.966
Without Me;['Halsey'];87;True;Solo;1;79;2018-10-04;201661;6;1;4;0.297;0.752;0.488;9.11e-06;0.0936;-7.05;0.0705;0.533;136.041
SICKO MODE;['Travis Scott'];86;True;Solo;1;79;2018-08-03;312820;8;1;4;0.00513;0.834;0.73;0.0;0.124;-3.714;0.222;0.446;155.008
Sunflower - Spider-Man: Into the Spider-Verse;['Post Malone', 'Swae Lee'];92;False;Collaboration;2;79;2018-12-14;158040;2;1;4;0.556;0.76;0.479;0.0;0.0703;-5.574;0.0466;0.913;89.911
High Hopes;['Panic! At The Disco'];86;False;Solo;1;78;2018-06-22;190947;5;1;4;0.193;0.579;0.904;0.0;0.064;-2.729;0.0618;0.681;82.014
A Holly Jolly Christmas;['Burl Ives'];3;False;Solo;1;77;2015-10-28;133547;0;1;4;0.685;0.665;0.398;0.0;0.172;-11.886;0.03;0.864;140.456
Mo Bamba;['Sheck Wes'];81;True;Solo;1;79;2018-10-05;183907;4;1;4;0.194;0.729;0.625;0.00986;0.248;-5.266;0.0315;0.261;146.034
breathin;['Ariana Grande'];79;True;Solo;1;79;2018-08-17;198160;8;1;4;0.0211;0.568;0.656;1.37e-05;0.213;-5.413;0.0433;0.364;100.049
Youngblood;['5 Seconds of Summer'];77;False;Solo;1;79;2018-04-12;203418;7;0;4;0.0169;0.596;0.854;0.0;0.124;-5.114;0.463;0.152;120.274
Better Now;['Post Malone'];86;True;Solo;1;79;2018-04-27;231267;10;1;4;0.354;0.68;0.563;0.0;0.136;-5.843;0.0454;0.374;145.028
Lucid Dreams;['Juice WRLD'];85;True;Solo;1;79;2018-12-10;239836;6;0;4;0.349;0.511;0.566;0.0;0.34;-7.23;0.2;0.218;83.903
imagine;['Ariana Grande'];76;True;Solo;1;79;2019-02-08;212267;8;1;3;0.378;0.729;0.475;0.0;0.12;-4.985;0.0364;0.371;62.52
Trip;['Ella Mai'];78;False;Solo;1;79;2018-10-12;213993;11;0;4;0.225;0.477;0.61;0.0;0.107;-5.628;0.144;0.358;79.882
Money;['Cardi B'];79;True;Solo;1;78;2018-10-23;183527;8;0;4;0.00534;0.95;0.59;0.0;0.11;-6.508;0.29;0.219;130.003
Leave Me Alone;['Flipp Dinero'];80;True;Solo;1;79;2018-09-04;195637;7;1;4;0.107;0.792;0.743;0.0;0.183;-2.806;0.0851;0.742;150.024
Feliz Navidad;['José Feliciano'];47;False;Solo;1;67;2001-09-03;182360;2;1;4;0.534;0.485;0.857;0.0;0.347;-7.059;0.0442;0.963;148.749
Speechless;['Dan + Shay'];75;False;Solo;1;78;2018-06-22;213387;1;1;4;0.356;0.616;0.438;0.0;0.24;-5.968;0.0298;0.386;135.929
Love Lies;['2018 DJ Grime'];4;False;Solo;1;79;2018-02-22;202998;6;1;4;0.478;0.731;0.587;0.0;0.106;-8.577;0.0604;0.373;144.025
Better;['Khalid'];75;False;Solo;1;77;2018-09-14;229413;0;0;4;0.0984;0.442;0.585;0.391;0.14;-10.332;0.0964;0.116;97.565
Natural;['Imagine Dragons'];82;False;Solo;1;79;2018-11-09;189467;2;1;4;0.217;0.704;0.611;0.0;0.0812;-6.112;0.0409;0.22;100.0
Calling My Spirit;['Kodak Black'];75;True;Solo;1;78;2018-12-14;152000;1;1;4;0.0996;0.91;0.366;0.0;0.261;-9.954;0.0941;0.74;119.985
Uproar;['Lil Wayne', 'Swizz Beatz'];73;True;Collaboration;2;79;2018-09-28;194184;1;1;4;0.0595;0.743;0.87;0.0;0.299;-2.188;0.212;0.884;99.075
She Got the Best of Me;['Luke Combs'];75;False;Solo;1;79;2018-06-01;183160;11;1;4;0.0292;0.533;0.907;0.0;0.386;-3.793;0.0406;0.7;150.99
BAD!;['XXXTENTACION'];72;False;Solo;1;79;2018-11-09;94246;5;0;4;0.0643;0.78;0.492;0.0313;0.174;-3.4;0.0671;0.374;143.983
Drunk Me;['Mitchell Tenpenny'];72;False;Solo;1;79;2018-12-14;211768;2;1;4;0.199;0.499;0.797;0.0;0.0933;-3.77;0.0554;0.408;176.024
Best Shot;['Jimmie Allen'];71;False;Solo;1;78;2018-10-12;195053;4;1;4;0.75;0.629;0.464;0.0;0.0853;-8.72;0.0334;0.523;156.051
You Say;['Lauren Daigle'];80;False;Solo;1;78;2018-09-07;274693;5;1;4;0.682;0.486;0.632;0.0;0.0869;-6.89;0.0344;0.0791;147.892
Armed And Dangerous;['Juice WRLD'];79;True;Solo;1;79;2018-12-10;169999;10;1;4;0.186;0.736;0.67;0.0;0.114;-6.702;0.311;0.845;130.032
Be Alright;['Dean Lewis'];83;True;Solo;1;79;2018-06-29;196373;11;1;4;0.697;0.553;0.586;0.0;0.0813;-6.319;0.0362;0.443;126.684
Sixteen;['Thomas Rhett'];68;False;Solo;1;79;2017-09-08;178333;1;1;4;0.0147;0.707;0.531;2.11e-06;0.175;-7.014;0.0273;0.417;106.992
Consequences;['Camila Cabello'];72;False;Solo;1;79;2018-01-12;178467;0;1;5;0.889;0.455;0.292;0.0;0.106;-6.792;0.0563;0.43;84.339
Pure Cocaine;['Lil Baby'];77;True;Solo;1;79;2018-11-30;154024;10;0;4;0.00127;0.964;0.487;6.57e-06;0.115;-6.071;0.421;0.107;127.05
Girl Like You;['Jason Aldean'];48;False;Solo;1;77;2018-04-13;192888;3;0;4;0.0338;0.543;0.868;0.000289;0.19;-4.69;0.0354;0.433;144.07
Good Girl;['Dustin Lynch'];71;False;Solo;1;78;2018-05-05;189533;7;1;4;0.16;0.711;0.696;0.0;0.17;-5.05;0.0871;0.694;80.512
Testimony;['Kodak Black'];61;True;Solo;1;78;2018-12-14;240000;6;0;4;0.0369;0.814;0.667;0.0;0.11;-4.785;0.36;0.376;80.031
You;['Jacquees'];71;True;Solo;1;79;2018-09-07;217387;8;0;4;0.413;0.735;0.453;0.0;0.104;-8.264;0.0602;0.335;115.002
when the party's over;['Billie Eilish'];88;False;Solo;1;79;2019-03-29;196077;4;1;4;0.978;0.367;0.111;3.97e-05;0.0897;-14.084;0.0972;0.198;82.642
Last Shot;['Kip Moore'];66;False;Solo;1;79;2017-09-08;228480;4;1;4;0.00204;0.487;0.859;0.0;0.322;-4.403;0.0488;0.377;148.037
whoa (mind in awe);['XXXTENTACION'];74;False;Solo;1;79;2018-12-07;157777;6;0;4;0.653;0.735;0.525;0.918;0.101;-2.939;0.0441;0.369;160.147
Beautiful Crazy;['Luke Combs'];80;False;Solo;1;79;2018-06-01;193200;11;1;4;0.676;0.552;0.402;0.0;0.0928;-7.431;0.0262;0.382;103.313
Fine China;['Future', 'Juice WRLD'];78;True;Collaboration;2;79;2018-10-19;141587;7;1;4;0.0484;0.656;0.542;0.0;0.126;-7.358;0.323;0.551;166.111
This Is It;['Scotty McCreery'];71;False;Solo;1;79;2018-03-16;230973;8;1;4;0.254;0.557;0.511;0.0;0.099;-6.788;0.0291;0.602;156.042
Sweet but Psycho;['Ava Max'];87;False;Solo;1;78;2018-08-17;187436;1;1;4;0.0691;0.719;0.704;0.0;0.166;-4.724;0.0476;0.628;133.002
Envy Me;['Calboy'];79;True;Solo;1;79;2018-12-13;120137;11;1;4;0.282;0.556;0.481;0.0;0.216;-7.663;0.313;0.581;149.025
YOSEMITE;['Travis Scott'];80;True;Solo;1;79;2018-08-03;150043;0;1;4;0.283;0.785;0.554;3.4e-06;0.116;-6.571;0.0409;0.144;128.047
Millionaire;['Chris Stapleton'];68;False;Solo;1;79;2017-12-01;210133;10;1;4;0.165;0.602;0.463;0.00968;0.0975;-9.666;0.0279;0.454;142.635
Look Back at It;['A Boogie Wit da Hoodie'];81;True;Solo;1;78;2018-12-21;179449;3;0;4;0.407;0.791;0.587;0.0;0.148;-5.075;0.0413;0.536;96.057
broken;['lovelytheband'];73;False;Solo;1;79;2018-08-03;204878;7;1;4;0.00175;0.666;0.728;4.26e-06;0.0429;-5.808;0.0419;0.51;122.996
Guardian angel;['XXXTENTACION'];67;True;Solo;1;79;2018-12-07;108035;0;0;4;0.795;0.712;0.374;0.0;0.187;-10.215;0.511;0.779;133.952
God is a woman;['Ariana Grande'];81;True;Solo;1;79;2018-08-17;197547;1;1;4;0.0233;0.602;0.658;6e-05;0.237;-5.934;0.0558;0.268;145.031
I don’t let go;['XXXTENTACION'];67;True;Solo;1;79;2018-12-07;121630;5;1;4;0.591;0.797;0.293;0.0724;0.148;-7.479;0.08;0.478;80.035
Train food;['XXXTENTACION'];62;True;Solo;1;79;2018-12-07;164083;9;0;3;0.564;0.492;0.712;9.1e-05;0.357;-7.278;0.691;0.23;137.453
what are you so afraid of;['XXXTENTACION'];66;False;Solo;1;79;2018-12-07;150769;0;1;4;0.774;0.639;0.312;0.469;0.0857;-9.902;0.0301;0.347;103.369
STARING AT THE SKY;['XXXTENTACION'];62;False;Solo;1;79;2018-12-07;85124;5;1;4;0.134;0.557;0.338;0.00184;0.14;-9.892;0.0257;0.689;140.935
Lie;['NF'];76;False;Solo;1;78;2017-10-06;209213;5;1;4;0.161;0.753;0.66;0.0;0.236;-6.542;0.133;0.182;95.003
difference (interlude);['XXXTENTACION'];64;False;Solo;1;79;2018-12-07;76974;11;0;4;0.949;0.593;0.0668;1.31e-05;0.194;-15.268;0.0722;0.19;102.456
That's On Me;['Yella Beezy'];65;True;Solo;1;79;2017-12-21;219552;4;0;4;0.0288;0.803;0.648;0.0;0.0904;-9.185;0.198;0.538;131.925
Intro;['Meek Mill'];62;True;Solo;1;78;2018-11-30;213402;1;1;4;0.0557;0.678;0.76;0.0;0.359;-5.546;0.221;0.24;96.044
Respect The Game;['Meek Mill'];59;True;Solo;1;78;2018-11-30;192099;2;1;4;0.0871;0.603;0.67;0.0;0.326;-4.809;0.25;0.159;89.842
Trauma;['Meek Mill'];57;True;Solo;1;78;2018-11-30;238203;8;1;4;0.0284;0.682;0.639;0.0;0.197;-4.406;0.292;0.183;89.09
Almost Slipped;['Meek Mill'];56;True;Solo;1;78;2018-11-30;246793;8;1;4;0.246;0.49;0.651;0.0;0.233;-6.24;0.251;0.46;164.213
Foot Fungus;['Ski Mask The Slump God'];73;True;Solo;1;79;2018-11-30;129547;1;1;4;0.257;0.881;0.623;1.5e-06;0.0964;-9.662;0.119;0.745;88.953
Crush A Lot;['Lil Baby'];60;True;Solo;1;79;2018-11-30;159755;5;0;4;0.0171;0.92;0.458;0.0;0.107;-5.643;0.315;0.403;132.992
Oodles O' Noodles Babies;['Meek Mill'];56;True;Solo;1;78;2018-11-30;181274;4;0;4;0.593;0.609;0.836;0.0;0.466;-3.442;0.264;0.584;72.099
Global;['Lil Baby'];61;True;Solo;1;79;2018-11-30;169826;1;1;4;0.106;0.672;0.565;0.0;0.113;-6.504;0.441;0.313;163.827
Word On The Street;['Lil Baby'];59;True;Solo;1;79;2018-11-30;172986;10;0;4;0.0562;0.888;0.432;0.0;0.112;-9.275;0.0934;0.173;99.965
